投資信託種別,口座区分,ファンド,分配金コース,quantity,(内訳　通常数量[口]),(内訳　積立数量[口]),平均取得価額[円],取得総額[円],基準価額[円],基準価額(前日比)[円],基準価額(前月比)[円],market_value,gain_loss,評価損益[％],トータルリターン[円],通貨単位,未収分配金,参考為替レート,時価評価額[外貨],合計額[円],import_date
投資信託,NISAつみたて投資枠,楽天・全米株式インデックス・ファンド(楽天・VTI),再投資型,29930,0,"29,930","31,141.00","93,205","35,527",366,323,106332,13127,14.08,"13,332",-,-,-,-,-,2025-09-06
投資信託,NISAつみたて投資枠,楽天・プラス・オールカントリー株式インデックス・ファンド(楽天・プラス・オールカントリー),再投資型,105163,0,"105,163","13,119.73","137,971","15,190",122,121,159743,21772,15.77,"26,743",-,-,-,-,-,2025-09-06
投資信託,NISAつみたて投資枠,eMAXIS Slim 国内株式(TOPIX),再投資型,58088,0,"58,088","20,935.48","121,610","24,208",196,235,140619,19009,15.63,"46,619",-,-,-,-,-,2025-09-06
投資信託,NISAつみたて投資枠,eMAXIS Slim 米国株式(S&P500),再投資型,49582,0,"49,582","30,799.89","152,712","35,141",347,329,174236,21524,14.09,"80,236",-,-,-,-,-,2025-09-06
投資信託,NISAつみたて投資枠,eMAXIS Slim 全世界株式(オール・カントリー)(オルカン),再投資型,1369,0,"1,369","29,218.41","4,000","29,460",237,235,4033,33,0.82,33,-,-,-,-,-,2025-09-06
投資信託,NISAつみたて投資枠,iFree 新興国株式インデックス,再投資型,16418,0,"16,418","22,922.40","37,633","26,336",-46,171,43238,5604,14.89,"7,238",-,-,-,-,-,2025-09-06
投資信託,NISAつみたて投資枠,iFreeNEXT FANG+インデックス,再投資型,2420,0,"2,420","75,826.45","18,350","78,336",897,890,18957,607,3.3,607,-,-,-,-,-,2025-09-06
投資信託,NISA成長投資枠,ニッセイNASDAQ100インデックスファンド＜購入・換金手数料なし＞,再投資型,87610,0,"87,610","18,262.76","160,000","20,829",226,128,182483,22483,14.05,"22,483",-,-,-,-,-,2025-09-06
投資信託,NISA成長投資枠,楽天・プラス・SOXインデックス・ファンド(楽天・プラス・SOX),再投資型,139045,0,"139,045","11,903.00","165,505","13,519",198,-304,187975,22470,13.57,"41,975",-,-,-,-,-,2025-09-06
投資信託,NISA成長投資枠,iFreeNEXT インド株インデックス,再投資型,29961,0,"29,961","15,019.53","45,000","14,518",15,149,43497,-1503,-3.33,"-1,503",-,-,-,-,-,2025-09-06
投資信託,NISA成長投資枠,HSBCインド・インフラ株式オープン,再投資型,21829,0,"21,829","19,240.92","42,001","18,507",-113,215,40399,-1602,-3.81,"-1,601",-,-,-,-,-,2025-09-06
投資信託,つみたてNISA,eMAXIS Slim 米国株式(S&P500),再投資型,317295,0,"317,295","19,760.54","626,992","35,141",347,329,1115006,488014,77.83,"488,014",-,-,-,-,-,2025-09-06
投資信託,つみたてNISA,三井住友・DC年金バランス30(債券重点型)(マイパッケージ),再投資型,23773,0,"23,773","16,486.00","39,192","18,863",79,73,44843,5651,14.41,"6,433",-,-,-,-,-,2025-09-06
